Columns,Desc
Variable,RNA Barcode sequence
cell.type,types={cycling_capillary, artery_1, capillary, artery_2, vein} 
Sox17,RNA Gene
Prex2,RNA Gene
Terf1,RNA Gene
Mcm3,RNA Gene
Khdrbs2,RNA Gene
Prim2,RNA Gene
Bag2,RNA Gene
Ptpn18,RNA Gene
Hs6st1,RNA Gene
Neurl3,RNA Gene
Arid5a,RNA Gene
Tmem182,RNA Gene
Fhl2,RNA Gene
Col3a1,RNA Gene
Slc40a1,RNA Gene
Sdpr,RNA Gene
Stk17b,RNA Gene
Hspd1,RNA Gene
Hspe1,RNA Gene
Rftn2,RNA Gene
Sgol2a,RNA Gene
Aox3,RNA Gene
Nop58,RNA Gene
Pard3bos1,RNA Gene
Nrp2,RNA Gene
Adam23,RNA Gene
Ikzf2,RNA Gene
Atic,RNA Gene
Fn1,RNA Gene
Igfbp2,RNA Gene
Igfbp5,RNA Gene
Ptprn,RNA Gene
Epha4,RNA Gene
Serpine2,RNA Gene
Ccl20,RNA Gene
Pid1,RNA Gene
Ncl,RNA Gene
Ptma,RNA Gene
Nppc,RNA Gene
...,RNA Gene
AW112010,RNA Gene
Fam111a,RNA Gene
Psat1,RNA Gene
Gna14,RNA Gene
Prune2,RNA Gene
Pcsk5,RNA Gene
Anxa1,RNA Gene
Zfand5,RNA Gene
Mamdc2,RNA Gene
Fam189a2,RNA Gene
Tmem252,RNA Gene
Pgm5,RNA Gene
Kank1,RNA Gene
Ch25h,RNA Gene
Kif20b,RNA Gene
Ankrd1,RNA Gene
Pcgf5,RNA Gene
Kif11,RNA Gene
Hhex,RNA Gene
Cep55,RNA Gene
Hells,RNA Gene
Pdlim1,RNA Gene
Entpd1,RNA Gene
Arhgap19,RNA Gene
Pgam1,RNA Gene
Ubtd1,RNA Gene
Nkx2-3,RNA Gene
Tlx1,RNA Gene
Gm28578,RNA Gene
Npm3,RNA Gene
Nolc1,RNA Gene
Nfkb2,RNA Gene
Gsto1,RNA Gene
Add3,RNA Gene
Mxi1,RNA Gene
Dusp5,RNA Gene
Gm16299,RNA Gene
Pdcd4,RNA Gene
Plekhs1,RNA Gene
Shtn1,RNA Gene
